index,value
24112,203.98945178839045
24113,203.9938763972797
24114,204.0024463205044
24115,204.00853326693047
24116,204.01332263506387
24117,204.0249104117902
24118,204.0347305707684
24119,204.05306637537308
24120,204.07469738612
24121,204.0775299998389
24122,204.06389244597875
24123,204.06961066126507
24124,204.0860950452
24125,204.09057433575884
24126,204.0936255540645
24127,204.10549338049464
24128,204.12301482240588
24129,204.1371334453988
24130,204.14506660762643
24131,204.1439906621914
24132,204.1539639568831
24133,204.17408539654343
24134,204.19745579938592
24135,204.22115395414772
24136,204.2371047234475
24137,204.24428551284885
24138,204.24573646936727
24139,204.2422149011224
24140,204.23625989400293
24141,204.22538235051545
24142,204.21384110869812
24143,204.2053173306634
24144,204.22047550833776
24145,204.23054265490697
24146,204.2406139367689
24147,204.25117791485397
24148,204.2542010076978
24149,204.254649201232
24150,204.26074228333624
24151,204.26243114858997
24152,204.24885892510423
24153,204.23539478057876
24154,204.2218423651478
24155,204.20980745294997
24156,204.2047927048896
24157,204.1992990642584
24158,204.1877915415991
24159,204.17577377473663
24160,204.15936769208108
24161,204.13637227018668
24162,204.11079007459415
24163,204.109448821511
24164,204.11812543395848
24165,204.1310017701533
24166,204.1444111099943
24167,204.15302353014664
24168,204.16382377276315
24169,204.1758286122479
24170,204.18296819332107
24171,204.1972158873146
24172,204.19744884326343
24173,204.1837453367378
24174,204.1688186589012
24175,204.1623810705117
24176,204.144281466694
24177,204.12039227891287
24178,204.11285985077825
24179,204.1186911368717
24180,204.1405859540724
24181,204.15025746603916
24182,204.14122270049492
24183,204.1370665755544
24184,204.1460103252477
24185,204.1512797591104
24186,204.1562980178904
24187,204.1705074314676
24188,204.18503715734167
24189,204.1975115938192
24190,204.1969447264701
24191,204.18261570082976
24192,204.1690128314532
24193,204.14426979500956
24194,204.1236306010584
24195,204.11421692563692
24196,204.10080077851129
24197,204.09996344526328
24198,204.09034019842343
24199,204.0787037758024
24200,204.071880679233
24201,204.07888479469568
24202,204.09136086105116
24203,204.12650726926023
24204,204.15992158679003
24205,204.1953462453684
24206,204.24972942716255
24207,204.30134907889945
24208,204.34068239892605
24209,204.3600717864097
24210,204.38754200312695
24211,204.42451302465284
24212,204.45779954344636
24213,204.4735247812501
24214,204.48109403043267
24215,204.49404916093957
24216,204.5115439652046
24217,204.5361109240705
24218,204.568043495528
24219,204.60966791661596
24220,204.6544540532422
