mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
Sundial,r1p0,30,0.225,0.0008347245409015025,10.0,3
CNNLSTM,r1p0,10,0.1188118811881188,0.002909090909090909,7.5,6
CNNLSTM,r1p0,15,0.14473684210526316,0.003067484662576687,8.399999999999999,5
CNNLSTM,r1p0,20,0.16666666666666666,0.0031746031746031746,9.0,4
CNNLSTM,r1p0,25,0.21428571428571427,0.003257328990228013,9.0,4
CNNLSTM,r1p0,30,0.2,0.00333889816360601,11.0,3
DiPCALSTM,r1p0,10,0.09900990099009901,0.0,4.714285714285714,7
DiPCALSTM,r1p0,15,0.10526315789473684,0.0,5.4,5
DiPCALSTM,r1p0,20,0.12962962962962962,0.0,6.0,4
DiPCALSTM,r1p0,25,0.11904761904761904,0.0,6.0,3
DiPCALSTM,r1p0,30,0.125,0.0,6.0,3
LSTMGRU,r1p0,10,0.0594059405940594,0.0,6.428571428571429,7
LSTMGRU,r1p0,15,0.05263157894736842,0.0,5.0,3
LSTMGRU,r1p0,20,0.07407407407407407,0.0,5.0,3
LSTMGRU,r1p0,25,0.047619047619047616,0.0,4.5,2
LSTMGRU,r1p0,30,0.05,0.0,4.5,2
STAConvBiLSTM,r1p0,10,0.5346534653465347,0.013818181818181818,8.222222222222223,27
STAConvBiLSTM,r1p0,15,0.5526315789473685,0.01303680981595092,8.666666666666666,18
STAConvBiLSTM,r1p0,20,0.5740740740740741,0.011904761904761904,9.461538461538462,13
STAConvBiLSTM,r1p0,25,0.6190476190476191,0.010586319218241042,10.2,10
STAConvBiLSTM,r1p0,30,0.625,0.01001669449081803,11.0,9
TCNTransformer,r1p0,10,0.44554455445544555,0.029818181818181817,7.800000000000001,20
TCNTransformer,r1p0,15,0.39473684210526316,0.029141104294478526,7.714285714285715,14
TCNTransformer,r1p0,20,0.35185185185185186,0.02857142857142857,8.333333333333332,9
TCNTransformer,r1p0,25,0.38095238095238093,0.025244299674267102,9.428571428571429,7
TCNTransformer,r1p0,30,0.375,0.022537562604340568,10.5,6
