mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
CNNLSTM,r0p1,15,0.039473684210526314,0.0,7.5,2
CNNLSTM,r0p1,20,0.05555555555555555,0.0,7.5,2
CNNLSTM,r0p1,25,0.07142857142857142,0.0,7.5,2
CNNLSTM,r0p1,30,0.075,0.0,7.5,2
DiPCALSTM,r0p1,10,0.07920792079207921,0.0007272727272727272,4.800000000000001,5
DiPCALSTM,r0p1,15,0.07894736842105263,0.0007668711656441718,6.0,3
DiPCALSTM,r0p1,20,0.09259259259259259,0.0007936507936507937,7.5,2
DiPCALSTM,r0p1,25,0.11904761904761904,0.0008143322475570033,7.5,2
DiPCALSTM,r0p1,30,0.125,0.0008347245409015025,7.5,2
LSTMGRU,r0p1,10,0.04950495049504951,0.0,4.5,4
LSTMGRU,r0p1,15,0.05263157894736842,0.0,5.0,3
LSTMGRU,r0p1,20,0.07407407407407407,0.0,5.0,3
LSTMGRU,r0p1,25,0.047619047619047616,0.0,4.5,2
LSTMGRU,r0p1,30,0.05,0.0,4.5,2
STAConvBiLSTM,r0p1,10,0.45544554455445546,0.04,9.5,18
STAConvBiLSTM,r0p1,15,0.4342105263157895,0.0299079754601227,10.2,10
STAConvBiLSTM,r0p1,20,0.3148148148148148,0.03015873015873016,8.5,6
STAConvBiLSTM,r0p1,25,0.30952380952380953,0.030944625407166124,9.75,4
STAConvBiLSTM,r0p1,30,0.325,0.03005008347245409,9.75,4
TCNTransformer,r0p1,10,0.38613861386138615,0.012363636363636363,6.88235294117647,17
TCNTransformer,r0p1,15,0.35526315789473684,0.010736196319018405,7.363636363636363,11
TCNTransformer,r0p1,20,0.2962962962962963,0.009523809523809525,6.857142857142857,7
TCNTransformer,r0p1,25,0.21428571428571427,0.008957654723127036,5.4,5
TCNTransformer,r0p1,30,0.175,0.009181969949916527,7.0,3
raw,r0p25,10,0.5841584158415841,0.016,8.464285714285715,28
raw,r0p25,15,0.5394736842105263,0.01687116564417178,8.166666666666668,18
raw,r0p25,20,0.48148148148148145,0.013492063492063493,7.846153846153847,13
raw,r0p25,25,0.5,0.009771986970684038,8.100000000000001,10
raw,r0p25,30,0.5,0.008347245409015025,8.666666666666666,9
diff,r0p25,10,0.6336633663366337,0.02327272727272727,9.11111111111111,27
diff,r0p25,15,0.6578947368421053,0.019938650306748466,10.235294117647058,17
diff,r0p25,20,0.6666666666666666,0.016666666666666666,10.75,12
